i		   MC-call	         MC-Put	         Error%
1000	           0.3268	         0.2246	         0.0010% 
2000	           0.3396	         0.2236	         0.0010% 
3000	           0.3369	         0.2312	         0.0010% 
4000	           0.3300	         0.2414	         0.0010% 
5000	           0.3233	         0.2320	         0.0010% 
6000	           0.3228	         0.2388	         0.0010% 
7000	           0.3332	         0.2356	         0.0010% 
8000	           0.3363	         0.2300	         0.0010% 
9000	           0.3360	         0.2311	         0.0010% 
10000	           0.3361	         0.2292	         0.0010% 
11000	           0.3311	         0.2304	         0.0010% 
12000	           0.3324	         0.2341	         0.0010% 
13000	           0.3342	         0.2321	         0.0010% 
14000	           0.3288	         0.2330	         0.0010% 
15000	           0.3344	         0.2322	         0.0010% 
16000	           0.3326	         0.2308	         0.0010% 
17000	           0.3315	         0.2351	         0.0010% 
18000	           0.3376	         0.2286	         0.0010% 
19000	           0.3307	         0.2350	         0.0010% 
20000	           0.3289	         0.2333	         0.0010% 
21000	           0.3278	         0.2338	         0.0010% 
22000	           0.3300	         0.2325	         0.0010% 
23000	           0.3271	         0.2341	         0.0010% 
24000	           0.3263	         0.2358	         0.0010% 
25000	           0.3301	         0.2290	         0.0010% 
26000	           0.3295	         0.2279	         0.0010% 
27000	           0.3308	         0.2335	         0.0010% 
28000	           0.3297	         0.2313	         0.0010% 
29000	           0.3323	         0.2326	         0.0010% 
30000	           0.3318	         0.2308	         0.0010% 
31000	           0.3301	         0.2301	         0.0010% 
32000	           0.3350	         0.2325	         0.0010% 
33000	           0.3326	         0.2313	         0.0010% 
34000	           0.3309	         0.2341	         0.0010% 
35000	           0.3270	         0.2314	         0.0010% 
36000	           0.3295	         0.2329	         0.0010% 
37000	           0.3287	         0.2312	         0.0010% 
38000	           0.3338	         0.2314	         0.0010% 
39000	           0.3315	         0.2310	         0.0010% 
40000	           0.3321	         0.2303	         0.0010% 
41000	           0.3343	         0.2304	         0.0010% 
42000	           0.3328	         0.2331	         0.0010% 
43000	           0.3295	         0.2329	         0.0010% 
44000	           0.3280	         0.2323	         0.0010% 
45000	           0.3315	         0.2319	         0.0010% 
46000	           0.3321	         0.2307	         0.0010% 
47000	           0.3347	         0.2316	         0.0010% 
48000	           0.3313	         0.2319	         0.0010% 
49000	           0.3298	         0.2328	         0.0010% 
50000	           0.3298	         0.2317	         0.0010% 
